JVNDB-2000-000002	2000-01-06T00:00:00+09:00
JVNDB-2000-000003	2000-01-10T00:00:00+09:00
JVNDB-2000-000004	2000-01-17T00:00:00+09:00
JVNDB-2000-000005	2000-01-24T00:00:00+09:00
JVNDB-2000-000006	2000-01-26T00:00:00+09:00
JVNDB-2000-000007	2000-02-17T00:00:00+09:00
JVNDB-2000-000008	2000-02-23T00:00:00+09:00
JVNDB-2000-000009	2000-02-24T00:00:00+09:00
JVNDB-2000-000010	2000-02-25T00:00:00+09:00
JVNDB-2000-000011	2000-02-28T00:00:00+09:00
JVNDB-2000-000012	2000-02-29T00:00:00+09:00
JVNDB-2000-000013	2000-03-04T00:00:00+09:00
JVNDB-2000-000014	2000-03-12T00:00:00+09:00
JVNDB-2000-000015	2000-03-20T00:00:00+09:00
JVNDB-2000-000016	2000-03-23T00:00:00+09:00
JVNDB-2000-000017	2000-03-27T00:00:00+09:00
JVNDB-2000-000018	2000-03-28T00:00:00+09:00
JVNDB-2000-000019	2000-03-30T00:00:00+09:00
JVNDB-2000-000020	2000-03-31T00:00:00+09:00
JVNDB-2000-000021	2000-04-06T00:00:00+09:00
JVNDB-2000-000022	2000-04-14T00:00:00+09:00
JVNDB-2000-000023	2000-04-21T00:00:00+09:00
JVNDB-2000-000024	2000-04-23T00:00:00+09:00
JVNDB-2000-000025	2000-04-24T00:00:00+09:00
JVNDB-2000-000026	2000-04-24T00:00:00+09:00
JVNDB-2000-000027	2000-04-24T00:00:00+09:00
JVNDB-2000-000028	2000-04-26T00:00:00+09:00
JVNDB-2000-000029	2000-05-02T00:00:00+09:00
JVNDB-2000-000030	2000-05-03T00:00:00+09:00
JVNDB-2000-000031	2000-05-04T00:00:00+09:00
JVNDB-2000-000032	2000-05-11T00:00:00+09:00
JVNDB-2000-000033	2000-05-11T00:00:00+09:00
JVNDB-2000-000034	2000-05-24T00:00:00+09:00
JVNDB-2000-000035	2000-05-24T00:00:00+09:00
JVNDB-2000-000036	2000-05-31T00:00:00+09:00
JVNDB-2000-000037	2000-06-01T00:00:00+09:00
JVNDB-2000-000038	2000-06-02T00:00:00+09:00
JVNDB-2000-000039	2000-06-02T00:00:00+09:00
JVNDB-2000-000040	2000-06-07T00:00:00+09:00
JVNDB-2000-000041	2000-06-09T00:00:00+09:00
JVNDB-2000-000042	2000-06-14T00:00:00+09:00
JVNDB-2000-000043	2000-06-20T00:00:00+09:00
JVNDB-2000-000044	2000-06-22T00:00:00+09:00
JVNDB-2000-000045	2000-06-30T00:00:00+09:00
JVNDB-2000-000046	2000-06-30T00:00:00+09:00
JVNDB-2000-000047	2000-07-03T00:00:00+09:00
JVNDB-2000-000048	2000-07-05T00:00:00+09:00
JVNDB-2000-000049	2000-07-11T00:00:00+09:00
